Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,inverted F,
"C1, C13, C14, C2, C4",0603,5,4u7,
"C10, C18, C19, C20, C24, C25, C29, C34, C8",0603,9,100n,
"C11, C12, C23, C27, C31, C35, C36, C7",0603,8,1u,
"C15, C16, C17, C21, C22, C3, C5",0603,7,18p,
"C26, C30",0603,2,10u,
"C32, C33",0402,2,TBD,
"C6, C9",0603,2,10n,
D1,0805,1,tx,
D2,0805,1,rx,
"D3, D5, D6, D7",SOT-23,4,SZNUP2105L,
D9,LED_RGB_1210,1,IN-S128TATRGB,
"FB1, FB3",0805,2,BLM18KG102SN1D,
FL1,DEA202450BT1261A2,1,DEA202450BT-1213C1,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
IC1,QFN50P400X400X100-25N-D,1,SX1281IMLTRT,
IC2,SKY6538311,1,SKY65383-11,
IC3,SOT95P280X145-6N,1,LMR50410Y3,
J1,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,jst_sh 6,
J2,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial,
J3,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J4,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,jst gh 4,
J5,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,jst gh 6,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,SolderJumper_2_Open,
L1,L_Wurth_WE-LQSH-3012,1,4.7u,
"Q1, Q2",SOT-23,2,DMP3056L-7,
"R1, R13, R14, R2, R3, R6",0603,6,10k,
"R10, R9",0603,2,5k1,
"R11, R12, R19, R20, R21",0603,5,330,
"R15, R16, R17, R5, R8",0603,5,1M,
R18,0603,1,120,
"R4, R7",0402,2,0,
TH1,0805,1,NTCG203NH103JT1,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32U575CGTx,
U2,SOT-23-5,1,TPS7A20285PDBVR,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,TSOT-23-8,1,TCAN334GDCN,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48MHz,
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,52MHz,
